Unnamed: 0,Name,Last,High,Low,Chg.,Chg. %,Vol.,Time,Unnamed: 9
,FMC,53.09,53.89,52.88,-0.03,-0.06%,497.70K,24/11,
,Entegris,103.87,104.62,102.85,+0.68,+0.66%,493.86K,24/11,
,CarMax,64.16,64.33,63.35,+0.30,+0.47%,490.66K,24/11,
,Essential Utilities,35.33,35.33,34.87,+0.37,+1.06%,490.11K,24/11,
,DaVita,99.26,100.29,98.56,-0.22,-0.22%,488.68K,24/11,
,Align,219.48,220.95,217.79,+2.19,+1.01%,487.28K,24/11,
,SLM,14.38,14.44,14.27,+0.02,+0.14%,485.35K,24/11,
,L3Harris Technologies,191.01,191.01,188.05,+3.18,+1.69%,482.32K,24/11,
,Hasbro,46.15,46.2,45.54,+0.53,+1.16%,482.07K,24/11,
,MGIC Investment,17.66,17.68,17.6,+0.10,+0.57%,477.18K,24/11,
,Associated Banc-Corp,17.73,17.8,17.57,+0.05,+0.28%,474.33K,24/11,
,Teradyne,92.49,92.81,92.15,+0.16,+0.17%,472.34K,24/11,
,Hartford,78.15,78.67,77.68,+0.40,+0.51%,470.26K,24/11,
,Cerus,1.65,1.685,1.61,0.000,0.00%,469.50K,24/11,
,Alkermes Plc,24.39,24.74,24.36,0.01,0.04%,468.78K,24/11,
,Northern Trust,76.36,76.67,75.55,+0.21,+0.28%,468.36K,24/11,
,NetApp,78.34,78.36,77.73,+0.35,+0.45%,466.02K,24/11,
,JM Smucker,113.27,113.93,112.97,-0.04,-0.04%,462.02K,24/11,
,Gentex,31.23,31.27,31.03,+0.17,+0.55%,460.75K,24/11,
,Goldman Sachs,339.15,340.27,337.64,+0.51,+0.15%,460.10K,24/11,
,Dynavax,13.56,13.7,13.49,+0.080,+0.59%,458.16K,24/11,
,Unum,43.17,43.43,42.93,+0.44,+1.03%,456.97K,24/11,
,Equifax,210.74,211.32,209.01,+0.20,+0.10%,454.16K,24/11,
,Alphatecs,11.87,11.98,11.72,+0.09,+0.76%,452.25K,24/11,
,Seagen,214.45,215.0,212.97,+1.38,+0.65%,449.85K,24/11,
,Bausch Health,6.93,6.99,6.9,+0.07,+0.95%,449.35K,24/11,
,FedEx,257.61,259.21,256.46,+1.15,+0.45%,447.34K,24/11,
,The Hain Celestial,11.03,11.21,10.92,+0.12,+1.10%,446.86K,24/11,
,Allstate,136.61,136.96,135.86,+0.52,+0.38%,443.21K,24/11,
,Clorox,141.19,141.39,139.82,+0.68,+0.48%,442.37K,24/11,
